Date,Glass Cases (12-pack),Plastic Cases (12-pack)
2023,5326000,3392000
2022,5458000,5087719
2021,5308000,4283000
2020,4872000,2033000
2019,5794000,4870000
2018,5638000,4001000
2017,6392000,6017000
2016,5982000,3796000
2015,5048000,4007000
2014,5395000,4990000
2013,4997000,4012000
2012,4891000,3920000
2011,5006000,4201000
2010,4959000,3829000
2009,4501000,3012000
2008,4016000,2433000
2007,4701000,4015000
2006,5018000,4309000
2005,5173000,4482000
2004,5081000,4166000
2003,5286000,4631000
