DAY,DEPALLETIZER TO FILLER,FILLER TO CAPPER,CAPPER TO DUD DETECTOR,DUD DETECTOR TO LABELER,LABELER TO TRAYMAKER
March 16,18,1759,56,5038,730
March 20,64,2542,384,8499,653
March 21,19,953,194,6710,103
March 22,24,991,253,2116,332
March 23,306,2853,114,5533,759
March 27,288,1772,89,3752,734
March 28,92,82,106,7434,122
March 29,62,215,9191,10285,10469
April 3,50,80,9543,893,824
April 4,56,187,977,1104,2701
April 5,51,299,1777,300,143
April 6,21533,45015,44778,508,2846
April 11,76,251,8406,793,1087
April 12,58,196,9633,420,2008
