Feb-23,Jan-23,,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22
45760,41184,,2288,25168,4576,4576,32032,50336,34320,50336,16016,32032,25168,43472
29744,45760,,41184,27456,11440,2288,32032,34320,50336,50336,45760,50336,25168,50336
9152,32032,,16016,29744,36608,41184,50336,50336,18304,50336,38896,22880,20592,50336
11440,50336,,36608,22880,27456,41184,27456,50336,41184,22880,50336,50336,16016,50336
50336,50336,,50336,50336,38896,18304,50336,50336,27456,50366,50336,50336,25168,50336
9152,29744,,45760,50336,48048,43472,50336,50336,50336,45760,50336,50336,22880,50336
50336,18304,,2288,32032,16016,11440,50336,50336,50336,50366,50336,50336,50336,50336
32032,29744,,2288,13728,11440,50336,50336,336336,50336,50336,50336,50336,50336,50336
16016,18304,,11440,27456,50336,11440,50336,,25168,45760,50336,25168,50336,50336
50336,50336,,36608,36608,11440,50336,34320,,50336,25168,50336,50336,50336,34320
41184,4576,,50336,4576,50336,16016,50336,,27456,441644,50336,50336,336336,50336
43472,4576,,2288,50336,45760,4576,50336,,50336,,50336,50336,,50336
50336,32032,,27456,13728,50336,36608,50336,,50336,,50336,25168,,581152
32032,50336,,324896,16016,50336,34320,22880,,22880,,50336,50336,,
25168,4576,,,29744,45760,2288,50336,,11440,,50336,50336,,
45760,20592,,,11440,36608,50336,50336,,50336,,50336,18304,,
45760,50336,,,18304,34320,20592,50336,,50336,,50336,50336,,
22880,32032,,,11440,50336,50336,36608,,50366,,50336,50336,,
50336,50336,,,50336,50336,50336,50336,,50336,,50336,22880,,
48048,50336,,,32032,50336,2288,50336,,761934,,34320,50336,,
18304,38896,,,50336,41184,4576,50336,,,,940368,50336,,
11440,34320,,,50336,32032,22880,940368,,,,,50336,,
727584,739024,,,50336,793936,20592,,,,,,25168,,
,,,,22880,,50336,,,,,,50336,,
,,,,38896,,48048,,,,,,36608,,
,,,,766480,,50336,,,,,,1063920,,
,,,,,,50336,,,,,,,,
,,,,,,25168,,,,,,,,
,,,,,,25168,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,29744,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,50336,,,,,,,,
,,,,,,45760,,,,,,,,
,,,,,,1267552,,,,,,,,
